id,name,price,accommodates,bedrooms,room_type,review_scores_rating,neighbourhood,number_of_reviews
17547955,Breathtaking Views. Amazing Location.,,5,2.0,Entire home/apt,4.96,Waverley,84
1496174758238112123,Olympic Park | Resort Style Apt with Gym & Pool!,$417.00,3,1.0,Entire home/apt,4.89,Auburn,18
1563527722561981679,"The Tree House, Cottage Point - Back to Nature",,10,5.0,Entire home/apt,4.43,Warringah,7
1377198810500714067,Rosebery Delight,,2,1.0,Entire home/apt,5.0,Sydney,3
1363421305945632027,Brand New 3BR Holiday House in Hornsby,$502.12,4,3.0,Entire home/apt,5.0,Hornsby,2
1282113745157012755,Coogee Cabanita—Charming Coastal Comfort,$326.80,4,2.0,Entire home/apt,4.65,Randwick,20
1542390435347269461,Kensington Double Room - Central & Affordable,$123.82,2,1.0,Private room,4.42,Randwick,12
1573108204382648763,Zetland Modern & Spacious 1BR Near East Village,$135.43,2,1.0,Entire home/apt,4.33,Sydney,3
4787478,Park & Skyline Views – Harbourside Apt Near CBD,$417.44,4,2.0,Entire home/apt,4.9,Woollahra,257
1220849427622830119,castle hill， 舒适小旅馆。,$336.50,4,1.0,Entire home/apt,4.88,The Hills Shire,17
1221544629241705479,5 star at manly,$228.24,2,1.0,Entire home/apt,4.76,Manly,34
1548209244242542610,5 mins to Central Sydney Lord Raglan Hotel,$91.29,2,1.0,Private room,4.5,Sydney,28
1091436401671802847,In the Heart of Potts Point,$179.75,2,1.0,Entire home/apt,4.77,Sydney,57
929387913564014960,Luxury home (Parties not permitted),$392.00,7,2.0,Entire home/apt,4.79,Sydney,67
620549763498805913,UNIT 211 - FULLY EQUIPPED STUDIO WITH FREE WIFI,$194.75,2,1.0,Entire home/apt,4.46,Strathfield,28
898161744924980948,Darlinghurst One-Bedder,$396.00,2,1.0,Entire home/apt,4.67,Sydney,21
1496152278113581064,"Family Room (1 Bedroom) - El Toro Motel, SW Sydney",$149.00,4,1.0,Private room,4.53,Liverpool,40
1583208145360356703,Contemporary One-Bed Living in Redfern/Surry Hills,$246.50,2,1.0,Entire home/apt,4.92,Sydney,12
48331687,"Spacious, renovated apartment in great location",$132.93,6,3.0,Entire home/apt,,Rockdale,0
1652523152690521660,Waterloo 4 bedroom house Free street parking,$560.00,8,4.0,Entire home/apt,,Sydney,0
774503475861761401,Hornsby Furnished Apartments - Long Stay 2 Bedroom,,5,2.0,Entire home/apt,4.0,Hornsby,2
12503272,Close to Olympic Park & Strathfield,$23.38,1,,Private room,4.84,Strathfield,32
1522178979896117654,"Spacious Abode | Convenient, close to train, shops",$639.00,6,3.0,Entire home/apt,5.0,Ku-Ring-Gai,1
40664135,New to Airbnb Bondi renovated calm haven,$190.59,4,2.0,Entire home/apt,,Waverley,0
48112737,Studio in handy and quiet location － (self entry),$160.00,2,,Entire home/apt,4.83,Canada Bay,116
1388714529581020571,"Fabulous 2 Bedroom house, Aircon, Parking & Garden",$306.50,4,2.0,Entire home/apt,5.0,Penrith,7
17943638,"Bondi Beach, Relax/Explore or New Year in Sydney!",$683.86,6,3.0,Entire home/apt,4.9,Waverley,21
1546331855760193961,Chatswood | Next to Westfield & close to Metro!,$282.00,4,1.0,Entire home/apt,5.0,Willoughby,4
1677804273811412107,Sydney Olympic park Event HubFree ParkingFast WiFi,$263.00,4,2.0,Entire home/apt,,Auburn,0
1167229920278106554,5BR Penrith CBD House | Sleeps 12 | Group Stay,$599.00,12,5.0,Entire home/apt,4.8,Penrith,20
40297289,Pacific Views Bondi,$125.53,3,,Entire home/apt,4.82,Waverley,245
1687011711928787382,quiet queen room（share bathroom）,$96.00,2,1.0,Private room,,Canada Bay,0
1039657429966570731,Whale Beach Cottage,$384.73,4,2.0,Entire home/apt,4.86,Pittwater,7
39659129,"Comfortable, Newly Renovated, Private Double Room",$110.00,2,,Private room,4.76,Auburn,117
1220860654674628836,"Family friendly house (walk to rail, parking)",$626.00,6,3.0,Entire home/apt,5.0,Willoughby,5
1239563027871371135,Luxurious 5Bed Sydney Escape w/Pool & Scenic Views,,13,5.0,Entire home/apt,5.0,Warringah,5
1481609132410806866,Private Double Room Steps from UNSW & Light Rail,$106.00,2,,Private room,4.33,Randwick,15
1696017295698001531,优质一居室｜500米到达轻轨站｜近悉尼大学,$161.40,2,1.0,Entire home/apt,,Sydney,0
1126443209213564501,The James Bond of Sydney Harbour,"$15,406.00",8,4.0,Entire home/apt,,Sydney,0
1077184856559514356,*新上2室房源 */普通民宅的价格让你享有魅力泳池桑拿健身于一体的水景民宿 Rhodes,,4,2.0,Entire home/apt,4.82,Canada Bay,39
991875922536255072,Queen Bed - Quiet Location - 2 MIN walk to station,$104.86,3,,Private room,5.0,Ryde,8
1257804644886898932,Apt city views iconic location with parking,$416.00,2,1.0,Entire home/apt,4.97,Sydney,73
40450381,Rainforest Retreat: PID-STRA-1986-3,$228.67,2,1.0,Entire home/apt,4.96,Leichhardt,187
