student_id,gender,math,read,science,book,escs
3600515,female,508.4,655.7,575.4,201-500,0.7
3600518,male,457.3,456.5,506.7,101-200,-0.4
3600519,male,487.6,516.4,528.3,11-25,-1.1
3600520,male,414.0,306.9,366.3,101-200,0.8
3600521,male,519.5,551.3,510.0,101-200,-1.0
3600522,male,554.5,526.7,515.3,101-200,0.8
3600523,male,522.3,507.0,607.3,26-100,0.8
3600525,male,590.3,597.6,623.2,101-200,0.4
3600526,female,629.6,809.1,699.3,201-500,1.3
3600527,female,381.2,318.7,372.9,26-100,-0.1
3600530,female,694.5,715.3,765.3,201-500,0.2
3600533,male,233.4,363.8,303.4,101-200,-1.2
3600535,male,680.2,629.5,689.2,101-200,1.2
3600536,male,561.5,452.3,557.7,101-200,0.6
3600537,male,703.2,686.5,689.8,more than 500,1.4
3600541,female,474.4,478.3,617.0,201-500,1.2
3600544,male,633.3,623.6,696.5,201-500,1.2
3600545,male,515.4,488.6,444.0,more than 500,0.8
3600546,male,426.2,450.2,403.8,101-200,0.4
3600547,male,509.7,549.0,525.3,101-200,0.6
3600548,male,493.4,520.5,581.6,101-200,0.5
3600549,male,481.5,462.1,561.8,26-100,0.4
3600550,male,447.3,450.4,441.6,11-25,-0.1
3600552,female,546.8,457.5,501.7,101-200,1.4
3600553,female,575.5,591.9,660.6,101-200,0.5
3600554,male,356.4,468.4,306.5,101-200,-3.1
3600555,male,512.4,553.6,533.5,101-200,-0.1
3600556,male,559.0,588.8,572.8,101-200,0.9
3600558,female,543.4,559.7,548.0,101-200,-0.3
3600559,male,515.0,472.9,492.4,101-200,0.9
3600560,male,554.0,706.8,644.3,201-500,-0.0
3600562,male,588.4,609.7,593.6,201-500,0.2
3600563,female,499.9,633.2,500.7,more than 500,0.1
3600564,female,377.7,395.4,426.7,0-10,0.0
3600565,male,438.6,488.7,483.0,26-100,0.4
3600566,male,494.7,515.0,494.8,26-100,1.3
3600567,female,461.0,530.1,500.2,more than 500,0.8
3600568,female,557.1,636.7,605.3,201-500,0.9
3600569,female,560.8,513.6,555.3,more than 500,1.2
3600570,male,691.2,701.3,756.8,201-500,0.8
3600573,female,679.4,694.8,655.9,201-500,0.8
3600576,male,424.0,438.2,428.0,0-10,0.1
3600577,male,777.9,709.9,792.4,201-500,1.6
3600580,female,618.4,594.5,622.4,more than 500,0.8
3600581,male,641.2,653.2,712.9,26-100,0.4
3600582,female,511.8,588.6,606.7,201-500,0.4
3600583,female,526.0,602.9,518.5,201-500,0.5
3600584,male,468.6,451.4,477.3,101-200,-0.6
3600586,female,430.8,449.9,557.9,101-200,1.4
3600587,female,331.1,258.8,310.4,201-500,-0.1
3600588,female,608.7,697.8,594.2,more than 500,1.5
3600589,male,629.2,511.9,613.0,26-100,1.4
3600590,female,495.0,513.4,655.5,26-100,0.7
3600591,male,503.7,576.8,488.0,201-500,1.8
3600592,male,549.5,395.9,598.6,101-200,1.2
3600593,male,455.1,436.1,513.5,201-500,1.3
3600594,female,345.4,493.0,404.4,101-200,-0.7
3600595,male,358.4,354.5,387.2,11-25,-1.9
3600596,male,504.2,619.0,543.3,201-500,1.8
3600597,female,463.9,517.5,588.7,101-200,0.8
3600600,male,432.1,484.7,392.5,101-200,1.5
3600601,male,365.8,368.8,493.5,101-200,-0.5
3600602,female,481.5,602.0,592.2,201-500,-0.9
3600604,male,487.4,434.7,427.7,11-25,-0.3
3600605,female,537.5,572.7,461.4,101-200,0.4
3600608,female,533.0,597.5,560.1,more than 500,1.2
3600609,female,424.8,473.9,464.1,101-200,-0.8
3600610,female,535.1,430.7,504.3,101-200,0.6
3600611,female,668.4,606.3,492.1,201-500,0.3
3600612,female,564.3,489.2,608.3,more than 500,-0.1
3600613,male,558.5,521.2,546.2,101-200,0.7
3600616,male,379.4,325.7,493.0,11-25,-0.9
3600617,female,491.6,427.0,473.5,26-100,1.2
3600618,male,350.8,474.5,414.9,26-100,0.9
3600619,female,472.0,556.8,504.3,more than 500,1.1
3600622,female,517.2,428.4,521.5,101-200,-0.4
3600624,male,468.0,446.2,444.8,11-25,-1.6
3600627,female,402.4,440.8,607.1,11-25,0.2
3600629,male,501.0,562.8,515.0,201-500,1.2
3600630,male,398.1,425.4,521.3,101-200,-0.7
3600631,female,359.4,329.8,377.7,26-100,-0.3
3600633,female,459.4,555.3,475.5,101-200,0.2
3600635,male,401.2,366.3,450.8,more than 500,0.4
3600636,female,581.7,556.3,594.6,26-100,-0.8
3600637,male,608.0,571.1,551.1,11-25,0.5
3600638,female,666.9,441.7,603.2,101-200,0.3
3600643,male,647.4,596.7,602.4,101-200,1.3
3600645,male,484.9,291.2,540.4,11-25,0.4
3600647,female,489.7,557.7,550.4,201-500,0.8
3600650,male,439.0,288.4,462.5,26-100,-0.0
3600651,female,356.0,406.4,512.1,26-100,0.6
3600652,male,430.4,408.7,447.2,0-10,0.9
3600653,female,567.4,588.2,578.3,more than 500,1.4
3600655,female,540.1,570.2,541.5,201-500,1.0
3600656,female,387.3,418.1,437.1,101-200,-0.9
3600657,female,559.2,608.1,565.1,26-100,1.1
3600658,female,509.2,479.2,618.5,more than 500,1.1
3600660,male,488.8,399.9,406.3,101-200,-1.5
3600662,female,480.3,500.6,458.5,more than 500,0.5
3600663,female,566.8,565.5,602.8,101-200,0.4
3600664,male,353.8,401.7,340.2,11-25,-0.1
3600665,female,653.0,684.8,586.8,201-500,1.7
3600666,female,395.6,568.4,516.6,101-200,0.6
3600668,female,361.6,450.0,414.6,11-25,0.0
3600670,female,451.2,333.7,415.4,101-200,0.5
3600672,female,556.8,493.6,582.5,101-200,1.2
3600673,female,386.8,439.1,374.8,201-500,0.4
3600676,female,585.7,681.4,575.6,more than 500,1.0
3600677,male,417.7,541.4,426.1,11-25,0.2
3600679,female,566.9,626.3,564.4,101-200,1.2
3600682,male,581.7,569.9,435.6,101-200,-0.2
3600683,female,571.8,625.1,601.2,101-200,0.7
3600684,male,417.9,388.3,367.5,101-200,0.1
3600690,female,516.3,509.4,489.0,101-200,-0.3
3600691,male,352.0,377.5,367.0,101-200,0.2
3600693,male,331.0,364.7,301.7,201-500,0.9
3600695,female,609.7,581.6,661.7,201-500,1.0
3600696,female,352.5,396.2,329.1,more than 500,1.5
3600698,male,499.2,464.7,530.7,26-100,1.2
3600701,male,505.6,632.9,592.4,201-500,1.5
3600704,male,373.6,227.7,392.4,11-25,1.5
3600705,male,435.6,457.9,512.0,201-500,0.5
3600706,female,372.1,492.4,341.0,0-10,-1.3
3600708,male,409.6,396.2,428.8,11-25,-0.5
3600709,female,398.9,370.7,487.1,11-25,-0.9
3600710,male,500.1,583.2,617.4,more than 500,1.4
3600712,male,539.4,549.6,531.5,101-200,1.1
3600714,female,503.2,564.7,535.0,101-200,1.1
3600715,female,394.9,270.7,329.5,26-100,0.7
3600716,male,488.2,461.1,554.3,more than 500,0.9
3600717,male,538.9,523.9,518.8,26-100,0.1
3600718,female,307.7,383.9,373.0,0-10,-0.3
3600719,male,236.7,259.8,246.4,101-200,1.1
3600721,male,565.1,569.0,548.0,201-500,0.5
3600722,female,412.6,493.1,373.1,26-100,0.7
3600724,female,493.8,544.6,516.2,more than 500,0.2
3600725,male,381.1,305.3,459.9,11-25,0.2
3600727,male,371.1,346.6,448.9,26-100,-1.3
3600728,male,456.3,423.8,449.5,26-100,0.0
3600729,male,525.1,422.9,404.2,11-25,0.2
3600730,female,329.3,429.9,248.9,more than 500,-0.8
3600731,female,443.6,515.8,455.7,101-200,-0.6
3600732,male,590.6,516.3,560.7,101-200,1.0
3600734,male,533.9,617.2,598.3,101-200,-0.1
3600735,male,398.4,422.9,536.3,101-200,-0.9
3600739,female,645.2,660.3,664.5,26-100,0.9
3600740,female,591.6,514.5,517.5,11-25,0.5
3600741,male,380.1,328.0,432.6,0-10,0.2
3600743,male,444.6,435.4,463.4,101-200,-0.0
3600746,female,392.9,481.1,446.3,26-100,0.2
3600747,male,428.6,366.5,449.3,11-25,-1.7
3600748,male,561.7,593.5,595.5,201-500,-0.0
3600749,male,472.0,450.5,510.2,11-25,0.5
3600752,male,450.7,372.6,494.8,101-200,0.3
3600753,male,560.5,544.2,625.9,26-100,0.9
3600754,female,590.0,586.1,647.8,more than 500,-0.6
3600756,male,710.5,762.3,721.1,201-500,-0.6
3600759,male,525.3,506.3,556.0,11-25,0.8
3600760,male,434.9,412.7,504.5,26-100,0.4
3600761,female,587.8,647.5,705.5,201-500,0.3
3600762,male,640.3,622.3,630.2,101-200,-0.0
3600764,female,714.0,729.4,751.9,201-500,1.2
3600765,female,402.0,482.0,437.4,11-25,0.0
3600766,female,287.0,389.3,389.9,11-25,-1.1
3600767,female,442.8,480.0,460.5,0-10,-0.6
3600769,male,517.3,669.5,594.0,101-200,0.2
3600771,male,454.6,540.9,475.9,101-200,-0.7
3600773,female,484.4,455.3,491.2,201-500,0.4
3600774,female,422.4,470.3,516.6,0-10,1.3
3600775,female,434.6,505.2,589.7,101-200,-0.0
3600778,male,484.5,540.4,502.1,101-200,0.7
3600783,male,472.1,511.2,507.2,26-100,0.8
3600784,male,475.7,498.9,542.6,201-500,-0.1
3600785,male,503.7,522.9,488.7,201-500,1.7
3600787,male,404.3,341.9,455.1,101-200,0.7
3600788,female,499.7,549.2,467.5,201-500,0.9
3600789,female,444.6,423.1,396.0,201-500,0.0
3600790,male,636.8,575.9,643.8,101-200,1.0
3600793,male,549.9,460.1,535.6,101-200,0.7
3600796,male,325.1,370.2,323.9,11-25,-3.3
3600797,male,288.1,236.7,327.7,26-100,-0.8
3600798,male,444.0,462.7,485.1,101-200,-0.6
3600800,female,596.8,545.5,668.6,more than 500,1.5
3600801,male,443.8,538.9,509.3,201-500,1.1
3600803,female,621.9,693.6,628.3,more than 500,1.3
3600806,male,354.3,413.9,378.4,26-100,-0.2
3600810,male,275.8,290.5,312.0,more than 500,1.1
3600811,female,538.8,608.0,568.2,26-100,0.8
3600813,male,445.3,530.2,459.5,101-200,-1.2
3600815,male,382.3,368.7,453.2,101-200,-0.2
3600816,female,496.8,417.5,431.4,101-200,-0.1
3600818,female,446.7,497.1,558.5,11-25,-0.1
3600819,female,487.9,508.4,557.3,more than 500,1.0
3600820,male,367.0,333.8,378.2,101-200,-0.4
3600823,female,604.0,696.0,556.3,201-500,1.5
3600824,female,572.9,502.4,423.3,201-500,0.9
3600825,male,516.6,456.2,444.2,201-500,-0.3
3600826,female,525.1,526.5,469.9,101-200,-0.0
3600829,female,366.9,351.5,287.6,26-100,0.7
3600831,male,623.7,626.5,664.1,more than 500,1.2
3600833,female,532.6,534.7,550.9,101-200,0.2
3600834,male,473.2,527.2,577.1,11-25,0.7
3600836,male,641.8,745.5,651.0,201-500,0.0
3600837,male,495.6,511.8,545.8,101-200,0.4
3600839,male,595.4,556.8,606.6,101-200,0.9
3600840,female,493.6,432.2,523.0,101-200,0.2
3600842,male,391.0,373.9,454.9,26-100,-2.5
3600844,female,312.9,327.5,358.5,201-500,0.1
3600845,male,554.6,569.5,607.3,101-200,-0.1
3600846,female,562.2,538.6,578.7,201-500,0.2
3600847,male,553.8,563.5,532.2,101-200,-0.5
3600850,female,466.0,608.3,500.7,more than 500,1.8
3600851,male,471.8,461.3,487.2,101-200,0.7
3600852,female,629.4,676.6,646.7,101-200,-0.6
3600853,male,520.6,569.2,571.2,201-500,0.9
3600855,female,427.9,516.8,457.0,101-200,1.0
3600858,female,397.8,501.0,443.4,101-200,0.7
3600861,male,587.3,595.2,636.1,101-200,1.4
3600862,female,446.0,529.0,440.0,more than 500,1.2
3600864,male,440.6,302.2,429.8,101-200,-0.4
